bahan;warna_kemeja;tipe_kerah;tipe_lengan;motif;posisi_motif;warna_motif;harga;penjualan
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Biru;119000;Rendah
Katun Yarndyed;Hijau;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Abu;119000;Rendah
Katun Yarndyed;Putih;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Hijau;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Kuning Putih;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Putih Biru;119000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Putih Merah;119000;Rendah
Katun Yarndyed;Kuning;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Biru;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Pink;129000;Rendah
Katun Oxford;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Putih;129000;Rendah
Katun Yarndyed;Hitam;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Biru Kuning;129000;Rendah
Katun Yarndyed;Navy;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Merah Biru;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Biru Krem;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Hitam;129000;Tinggi
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Abu Merah;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Putih;99000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Hitam;149000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Navy Biru;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Panjang;Stripes;Full Vertikal;Putih;149000;Rendah
Katun Yarndyed;Coklat;Straight Collar;Lengan Panjang;Stripes;Full Vertikal;Putih;119000;Rendah
Katun Yarndyed;Putih;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Biru Abu;149000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Biru;99000;Rendah
